pulsd_title,pulsd_price,google_rating,google_total_ratings,restaurant_name,pulsd_address,google_review_summary,pulsd_url
"$49 Bottomless Brunch For Two, Williamsburg",49,5,15,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJ4w35kuNbwokRZiWBvg9LErk"", ""Blackbird"")","428 S 5th Street, Brooklyn, NY 11211","People say this restaurant offers delicious and satisfying vegan options, as well as a unique Edamame Burger. They highlight the chic and chill atmosphere, and the attentive and friendly service. They also like the knowledgeable staff.",pulsd.com/new-york/promotions/blackbird-bottomless-brunch-restaurant-nyc
"$49 90Min Bottomless Brunch For Two, Chelsea",49,4.9,421,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJ20Lo8cdZwokRyW0EGwA-wwk"", ""Tara Mór"")","150 West 30th Street, New York, NY 10001","People say this bar offers delicious Guinness, Irish breakfast, and creative cocktails. They highlight the fun, lively atmosphere, and the reasonable prices. They also like the friendly and attentive staff.",pulsd.com/new-york/promotions/tara-mor-bottomless-brunch-restaurant-nyc
"$99 4 Crs Bottomless Brunch For Two, Midtown",99,4.8,3969,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJVfiHVG1ZwokROzwlNbvn0TI"", ""Patiala Indian Grill & Bar"")","240 W 35th Street, New York, NY 10001","Diners say this Indian restaurant serves up delicious chicken tikka masala, biryani, and garlic naan. They also highlight the friendly and attentive service, and the elegant and inviting atmosphere.",pulsd.com/new-york/promotions/patiala-indian-grill-and-bar-bottomless-brunch-restaurant-nyc
"$49 10-Cocktail Brunch For Two, West Village",49,4.8,341,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJoTTiRY1ZwokRn9SpxgNIx7M"", ""Ferdi"")","15 7th Avenue South, New York, NY 10014","People say this Italian restaurant serves delicious veal, pasta, and seafood dishes, as well as tasty desserts and cocktails. They highlight the reasonable prices, especially the prix fixe menu, and the cozy, romantic atmosphere. They also like the friendly and welcoming staff, and the attentive service.",pulsd.com/new-york/promotions/ferdi-brunch-restaurant-nyc
$49 SoHo Cocktail Brunch For Two,49,4.8,866,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJh-oPySxZwokRBTfrxwTdRo4"", ""Lindens"")","2 Renwick Street, New York, NY 10013","People say this restaurant offers delicious dishes such as branzino, half chicken, and butternut squash ravioli. They highlight the fresh ingredients, flavorful combinations, and generous portions. They also like the attentive and friendly service, and the fun and lively atmosphere.",pulsd.com/new-york/promotions/lindens-arlo-soho-cocktail-brunch-nyc
$49 Cocktail Brunch For Two In Murray Hill,49,4.8,25,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJYcGyXqRZwokRAaRMRCbyK3Y"", ""Leslie"")","514 3rd Ave, New York, NY 10016","People say this restaurant serves delicious, elevated comfort food, including deviled eggs, smash burgers, and chicken piccata. They highlight the cozy and blissful atmosphere, and the elegant presentation of the dishes. They also like the friendly and attentive service.",pulsd.com/new-york/promotions/leslie-cocktail-brunch-restaurant-nyc
"$49 90 Min Bottomless Brunch for Two, Astoria",49,4.8,154,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJufkQ_9pfwokRe8KcMNHEBLI"", ""Porta 23"")","29-17 23rd Avenue, Queens, NY 11105","People say this restaurant serves delicious smash burgers, chicken pilaf, and yucca fritters. They highlight the great cocktails, especially the caipirinha, and the tasty flan. They also like the attentive service and friendly staff.",pulsd.com/new-york/promotions/porta-23-bottomless-brunch-restaurant-nyc
$49 For A 2 Course Bottomless Brunch For Two,49,4.8,240,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJOc6gA9X3wokRu5v-fpKFkBs"", ""Chez Messy"")","5 Edward M Morgan Place, New York, NY 10032","People say this cocktail bar offers delicious tapas, fresh cocktails, and a standout bone marrow dish. They highlight the cozy, intimate vibe, and the excellent live music. They also like the attentive and friendly service.",pulsd.com/new-york/promotions/chez-messy-bottomless-brunch-restaurant-nyc
$39: 90 Minute Bottomless Brunch For Two,39,4.8,75,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJT1BhMQpfwokRi3rOsB0QErg"", ""Barkada Social Club"")","33-05 Broadway, Astoria, NY 11106","People say this restaurant serves delicious Filipino fusion cuisine, including dynamite, kare kare, and flan. They highlight the great drinks, fun karaoke, and lively atmosphere. They also like the attentive and friendly service.",pulsd.com/new-york/promotions/barkada-social-club-bottomless-brunch-restaurant-nyc
"$39 Cocktail Brunch For Two, East Village",39,4.8,329,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJ8aHLpR9ZwokRvJa7UWwQWY8"", ""House of Pasta"")","511 E 12th Street, New York, NY 10009","Diners say this Italian restaurant serves up delicious mushroom lasagna, rigatoni bolognese, and fresh pasta, and they praise the cozy and inviting atmosphere. They also highlight the friendly and attentive service, and many appreciate the reasonable prices.",pulsd.com/new-york/promotions/house-of-pasta-cocktail-brunch-restaurant-nyc
