pulsd_title,pulsd_price,pulsd_url,google_rating,google_total_ratings,restaurant_name,pulsd_address,google_review_summary
$99 Pizza Making Class For 2 w Cocktails/Wine,99,pulsd.com/new-york/promotions/saucey-pizza-making-classes-restaurants-nyc,5,251,Saucey Pizza Bar,"36-21 Review Avenue, Long Island City, NY 11101","People say this pizza restaurant offers delicious pizzas, garlic bread, and drinks. They highlight the fresh ingredients, authentic flavors, and fun pizza-making classes. They also like the friendly staff, welcoming atmosphere, and great service."
"$69 3 Course Dinner For 2 & Cocktails, Wines",69,pulsd.com/new-york/promotions/blackbird-dinner-restaurant-nyc,5,15,Blackbird,"428 S 5th Street, Brooklyn, NY 11211","People say this restaurant offers delicious and satisfying vegan options, as well as a unique Edamame Burger. They highlight the chic and chill atmosphere, and the attentive and friendly service. They also like the knowledgeable staff."
"$49 Bottomless Brunch For Two, Williamsburg",49,pulsd.com/new-york/promotions/blackbird-bottomless-brunch-restaurant-nyc,5,15,Blackbird,"428 S 5th Street, Brooklyn, NY 11211","People say this restaurant offers delicious and satisfying vegan options, as well as a unique Edamame Burger. They highlight the chic and chill atmosphere, and the attentive and friendly service. They also like the knowledgeable staff."
$25 Tickets: The 2026 Brooklyn Wine Festival,25,pulsd.com/new-york/promotions/the-2026-brooklyn-wine-festival-nyc,5,3,Industry City - Building 5,"33 35th Street, Brooklyn, NY 11232",
Atmosphere with Aesop,,pulsd.com/pulses/61319,4.9,34,Aesop Rockefeller Center,"610 Fifth Avenue, , Suite 7 New York, NY",People say this beauty supply store offers a free book event featuring Queer authors. They highlight the staff provides helpful advice. They also like the friendly and knowledgeable service.
$249 9 Course Chef's Table Experience For Two,249,pulsd.com/new-york/promotions/6-restaurant-nyc-chefs-table-dinner,4.9,86,6 Restaurant,"481 Court Street, Brooklyn, NY 11231","People say this restaurant serves delicious dishes, including gnocchi, picaña, and a chicory salad, and offers a tasting menu. They highlight the reasonable prices and the cozy, modern Parisian bistro atmosphere. They also like the friendly and attentive service."
"$69 2 Course Dinner For 2 & Cocktails, Wines",69,pulsd.com/new-york/promotions/by-and-by-dinner-restaurant-nyc,4.9,49,By & By,"644 10th Avenue, New York, NY 10036","People say this bar offers substantial and flavorful small plates, as well as well-curated cocktails and wine. They highlight the delicious lamb sliders, curry spring rolls, and Korean beef skewers, and the unique and flavorful cocktails and mocktails. They also like the friendly and attentive service."
"$49 90Min Bottomless Brunch For Two, Chelsea",49,pulsd.com/new-york/promotions/tara-mor-bottomless-brunch-restaurant-nyc,4.9,421,Tara Mór,"150 West 30th Street, New York, NY 10001","People say this bar offers delicious Guinness, Irish breakfast, and creative cocktails. They highlight the fun, lively atmosphere, and the reasonable prices. They also like the friendly and attentive staff."
$49 AYCE Dumplings & Noodles For 2 +Cocktails,49,pulsd.com/new-york/promotions/the-lotus-room-dinner-restaurant-nyc,4.9,40,The Lotus Room,"114 West 47th Street, New York, NY 10036",
"$39 Dinner For Two & Cocktails, Wines, Beers",39,pulsd.com/new-york/promotions/burgers-beer-dinner-restaurant-nyc,4.9,296,Burgers and Beer,"170 West 4th Street , New York, NY 10014","People say this hamburger restaurant serves delicious burgers, including the specialty French onion soup burger, and offers a solid beer selection. They highlight the moderate prices, fun and cozy atmosphere, and the attentive and friendly staff. They also like the complimentary onion rings and fries."
"$39 Dinner For Two & Cocktails, Wines, Beers",39,pulsd.com/new-york/promotions/wok-in-duane-dinner-restaurant-nyc,4.9,89,Wok In Duane,"181 Duane Street, New York, NY 10013","People say this Asian restaurant serves fresh, flavorful dishes, including Hot and Sour Soup, String Beans, Chicken Fried Rice, and Mongolian Beef. They highlight the generous portions, reasonable prices, and relaxing atmosphere. They also like the friendly and accommodating service."
50% Off Tickets To Drunk Shakespeare,,pulsd.com/new-york/promotions/drunk-shakespeare-tickets-nyc,4.8,180,The Ruby Theatre,"35 West 39th Street, New York, NY, 10018",
"$99 4 Crs Bottomless Brunch For Two, Midtown",99,pulsd.com/new-york/promotions/patiala-indian-grill-and-bar-bottomless-brunch-restaurant-nyc,4.8,3969,Patiala Indian Grill & Bar,"240 W 35th Street, New York, NY 10001","Diners say this Indian restaurant serves up delicious chicken tikka masala, biryani, and garlic naan. They also highlight the friendly and attentive service, and the elegant and inviting atmosphere."
