pulsd_title,pulsd_price,google_rating,google_total_ratings,restaurant_name,pulsd_address,google_review_summary,pulsd_url
$99 Pizza Making Class For 2 w Cocktails/Wine,99,5,251,Saucey Pizza Bar,"36-21 Review Avenue, Long Island City, NY 11101","People say this pizza restaurant offers delicious pizzas, garlic bread, and drinks. They highlight the fresh ingredients, authentic flavors, and fun pizza-making classes. They also like the friendly staff, welcoming atmosphere, and great service.",pulsd.com/new-york/promotions/saucey-pizza-making-classes-restaurants-nyc
"$69 3 Course Dinner For 2 & Cocktails, Wines",69,5,15,Blackbird,"428 S 5th Street, Brooklyn, NY 11211","People say this restaurant offers delicious and satisfying vegan options, as well as a unique Edamame Burger. They highlight the chic and chill atmosphere, and the attentive and friendly service. They also like the knowledgeable staff.",pulsd.com/new-york/promotions/blackbird-dinner-restaurant-nyc
$25 Tickets: The 2026 Brooklyn Wine Festival,25,5,3,Industry City - Building 5,"33 35th Street, Brooklyn, NY 11232",,pulsd.com/new-york/promotions/the-2026-brooklyn-wine-festival-nyc
Atmosphere with Aesop,,4.9,34,Aesop Rockefeller Center,"610 Fifth Avenue, , Suite 7 New York, NY",People say this beauty supply store offers a free book event featuring Queer authors. They highlight the staff provides helpful advice. They also like the friendly and knowledgeable service.,pulsd.com/pulses/61319
$249 9 Course Chef's Table Experience For Two,249,4.9,86,6 Restaurant,"481 Court Street, Brooklyn, NY 11231","People say this restaurant serves delicious dishes, including gnocchi, picaña, and a chicory salad, and offers a tasting menu. They highlight the reasonable prices and the cozy, modern Parisian bistro atmosphere. They also like the friendly and attentive service.",pulsd.com/new-york/promotions/6-restaurant-nyc-chefs-table-dinner
"$69 2 Course Dinner For 2 & Cocktails, Wines",69,4.9,49,By & By,"644 10th Avenue, New York, NY 10036","People say this bar offers substantial and flavorful small plates, as well as well-curated cocktails and wine. They highlight the delicious lamb sliders, curry spring rolls, and Korean beef skewers, and the unique and flavorful cocktails and mocktails. They also like the friendly and attentive service.",pulsd.com/new-york/promotions/by-and-by-dinner-restaurant-nyc
$49 AYCE Dumplings & Noodles For 2 +Cocktails,49,4.9,40,The Lotus Room,"114 West 47th Street, New York, NY 10036",,pulsd.com/new-york/promotions/the-lotus-room-dinner-restaurant-nyc
"$39 Dinner For Two & Cocktails, Wines, Beers",39,4.9,296,Burgers and Beer,"170 West 4th Street , New York, NY 10014","People say this hamburger restaurant serves delicious burgers, including the specialty French onion soup burger, and offers a solid beer selection. They highlight the moderate prices, fun and cozy atmosphere, and the attentive and friendly staff. They also like the complimentary onion rings and fries.",pulsd.com/new-york/promotions/burgers-beer-dinner-restaurant-nyc
"$39 Dinner For Two & Cocktails, Wines, Beers",39,4.9,89,Wok In Duane,"181 Duane Street, New York, NY 10013","People say this Asian restaurant serves fresh, flavorful dishes, including Hot and Sour Soup, String Beans, Chicken Fried Rice, and Mongolian Beef. They highlight the generous portions, reasonable prices, and relaxing atmosphere. They also like the friendly and accommodating service.",pulsd.com/new-york/promotions/wok-in-duane-dinner-restaurant-nyc
50% Off Tickets To Drunk Shakespeare,,4.8,180,The Ruby Theatre,"35 West 39th Street, New York, NY, 10018",,pulsd.com/new-york/promotions/drunk-shakespeare-tickets-nyc
$85 4 Course Dinner for 2 & Wines/Beers,85,4.8,1642,Cka Ka Qellue,"118 E 31st Street, New York, NY 10016","People say this Mediterranean restaurant serves delicious Albanian food, including qebapa, qofte, and a mixed grill platter, as well as fresh bread and dips like ajvar and taratore. They highlight the authentic flavors, cozy atmosphere, and attentive service. They also like the historical decor and the option to try traditional Albanian dishes like tave kosi and fli.",pulsd.com/new-york/promotions/cka-ka-qellue-dinner-restaurant-nyc
"$79 3Crs Sushi Dinner For 2 & Cocktails, Wine",79,4.8,75,Sushi Saint,"11-01 43rd Avenue, Long Island City, NY 11101","People say this sushi restaurant serves delicious and creative hand rolls, with the salmon, hamachi, and crab being particularly popular. They highlight the generous portions, fresh ingredients, and subtle flavors that evoke memories. They also like the attentive service and intimate dining experience.",pulsd.com/new-york/promotions/sushi-saint-dinner-restaurant-nyc
$79 3 Course Dinner For 2 w Sangria Pitcher,79,4.8,684,Jose Luis Mediterranean Cuisine,"186 Avenue B, New York, NY 10009","People say this Mediterranean restaurant serves delicious paella, tapas, and grilled octopus. They highlight the great happy hour deals, strong drinks, and lively patio. They also like the friendly and welcoming service.",pulsd.com/new-york/promotions/jose-luis-nyc-dinner-restaurant
$65 3Crs Dinner For Two Cocktails/Wine/Beer,65,4.8,54,Norimen,"24 Elizabeth Street, New York, NY 10013","People say this Korean restaurant serves delicious tteok-galbi, donkatsu, and Korean fried chicken, along with fresh and healthy side dishes. They highlight the generous portions, reasonable prices, and the authentic, intimate, and modern atmosphere. They also like the friendly, attentive, and professional service.",pulsd.com/new-york/promotions/norimen-dinner-restaurant-nyc
$59 2 Course Hot Pot Dinner For 2 + Cocktails,59,4.8,496,Mala Hot Pot,"35 W 36th Street, New York, NY 10018","People say this hot pot restaurant offers fresh ingredients, a variety of meats, and flavorful broths, including a spicy mala broth. They highlight the reasonable prices and clean, modern atmosphere. They also like the attentive and helpful service.",pulsd.com/new-york/promotions/mala-hot-pot-dinner-restaurant-nyc
"$59 3Crs Dinner For 2 w Wine Bottle,Cocktails",59,4.8,240,Chez Messy,"5 Edward M Morgan Place, New York, NY 10032","People say this cocktail bar offers delicious tapas, fresh cocktails, and a standout bone marrow dish. They highlight the cozy, intimate vibe, and the excellent live music. They also like the attentive and friendly service.",pulsd.com/new-york/promotions/chez-messy-dinner-restaurant-nyc
$49: 3 Course Dinner For Two & Wine Bottle,49,4.8,75,Barkada Social Club,"33-05 Broadway, Astoria, NY 11106","People say this restaurant serves delicious Filipino fusion cuisine, including dynamite, kare kare, and flan. They highlight the great drinks, fun karaoke, and lively atmosphere. They also like the attentive and friendly service.",pulsd.com/new-york/promotions/barkada-social-club-dinner-restaurant-nyc
"$49: 3 Course Dinner For Two w Wines, Beers",49,4.8,888,Tipsy Shanghai,"104 2nd Avenue, New York, NY 10003","People say this Chinese restaurant serves delicious and authentic Shanghainese food, including soup dumplings, pan-fried pork buns, and Wuxi pork ribs. They highlight the reasonable prices, cozy and vibey atmosphere, and quick service. They also like the friendly and attentive staff.",pulsd.com/new-york/promotions/tipsy-shanghai-east-village-dinner-restaurant-nyc
$19 Top Shelf Distillery Tour & Tasting,19,4.8,378,Kings County Distillery,"299 Sands Street, Brooklyn, NY 11205",,pulsd.com/new-york/promotions/kings-county-distillery-top-shelf-whiskey-tasting-tour-nyc
20Crs Omakase w 2Hrs Bottomless Sake For Two,,4.7,85,Kiwami,"141 Bridge Park Drive, Brooklyn, NY 11201","People say this Japanese restaurant offers delicious omakase and fresh, high-quality sushi. They highlight the beautiful interior, authentic atmosphere, and attentive service. They also like the ocean view and the chef's passion.",pulsd.com/new-york/promotions/kiwami-omakase-dinner-restaurant-nyc
"$129 Champagne Afternoon Tea For Two, Tribeca",129,4.7,59,Warren Street Hotel,"86 Warren Street, New York, NY 10007","People say this hotel offers gorgeous rooms with exquisite decor and attention to detail. They highlight the luxurious and inviting atmosphere, and the quiet comfort of the rooms. They also like the helpful and attentive staff.",pulsd.com/new-york/promotions/warren-street-hotel-nyc-afternoon-tea
"$99 3 Course Dinner For 2 & Cocktails, Wines",99,4.7,587,Nar Restaurant,"34 E 20th Street, New York, NY 10003","People say this Turkish restaurant serves delicious and authentic dishes, including kebabs, manti, and mezze. They highlight the romantic and elegant atmosphere, and the attentive and friendly service. They also like the stylish presentation of the food and the excellent cocktails.",pulsd.com/new-york/promotions/nar-restaurant-dinner-nyc
$89 2 Course Dinner For 2 w Cocktails & Shots,89,4.7,331,Wonderland,"96 2nd Avenue, New York, NY 10003","People say this Asian fusion restaurant offers creative drinks with exciting presentations, and delicious truffle fries and chicken sliders. They highlight the magical and whimsical atmosphere, and the fun, unique experience with a magic show. They also like the friendly and attentive staff.",pulsd.com/new-york/promotions/wonderland-dinner-restaurant-nyc
$69 3 Crs Dinner For 2 & Wine/Cocktails,69,4.7,3673,Amor Loco,"134 W 46th Street, New York, NY 10036","People say this Mexican restaurant serves delicious octopus tacos, birria tacos, and surf and turf burritos. They highlight the fun, lively atmosphere, and the great cocktails, especially the margaritas and palomas. They also like the attentive and friendly staff.",pulsd.com/new-york/promotions/amor-loco-dinner-nyc
$69: 3 Crs Dinner + Cocktails + Comedy Show,69,4.7,86,Ways & Means,"167 Bleecker Street, New York, NY, 10012","People say this restaurant offers a great bottomless brunch with a variety of options, as well as good margaritas and mimosas. They highlight the affordable prices and generous portions. They also like the chill vibe and friendly staff.",pulsd.com/new-york/promotions/ways-and-means-dinner-restaurant-comedy-show-nyc--2
"$59 3Crs Dinner For 2 & Cocktails, Wines",59,4.7,318,Good Thanks,"374 Graham Avenue, Brooklyn, NY 11211","People say this Australian restaurant serves delicious avocado toast, banana bread, and shrimp burgers. They highlight the generous portions, great happy hour deals, and cozy, welcoming atmosphere. They also like the friendly and attentive service.",pulsd.com/new-york/promotions/good-thanks-dinner-restaurant-nyc
"$49 Dinner For Two & Wine Bottle, Flatiron",49,4.7,129,John Devoy's,"377 Park Avenue South, New York, NY 10016","People say this bar offers delicious oysters, brunch options, and cocktails. They highlight the great value, especially the $1 oyster special and happy hour deals, and the lively, fun atmosphere. They also like the friendly and attentive staff.",pulsd.com/new-york/promotions/john-devoys-dinner-restaurant-nyc
"$49 AYCE & Bottomless Dinner For Two, Chelsea",49,4.7,151,Yasubee Authentic Ramen,"253 W 26th Street, New York, NY 10001","People say this ramen restaurant serves delicious ramen, including spicy miso and shoyu, as well as pork katsu don, karaage, and gyoza. They highlight the fresh ingredients, generous portions, and affordable prices, and like the comfortable and welcoming atmosphere. They also mention the staff are friendly, attentive, and accommodating.",pulsd.com/new-york/promotions/yasubee-authentic-ramen-ayce-dinner-restaurant-nyc
$39 For A Dinner For Two & A Bottle Of Wine,39,4.7,1101,Tara Rose,"384 3rd Avenue, New York, NY 10016","People say this cocktail bar offers fantastic food and drinks, including a variety of cocktails, a spice bag, and a sausage roll. They highlight the great happy hour deals, fun vibe, and the friendly and attentive staff. They also like the spacious layout, perfect for events and parties.",pulsd.com/new-york/promotions/tara-rose-nyc-dinner-restaurant
"$39 3 Course Dinner For Two & Drinks, Chelsea",39,4.7,151,Yasubee Authentic Ramen,"253 W 26th Street, New York, NY 10001","People say this ramen restaurant serves delicious ramen, including spicy miso and shoyu, as well as pork katsu don, karaage, and gyoza. They highlight the fresh ingredients, generous portions, and affordable prices, and like the comfortable and welcoming atmosphere. They also mention the staff are friendly, attentive, and accommodating.",pulsd.com/new-york/promotions/yasubee-authentic-ramen-dinner-restaurant-nyc
$29 Dinner For Two With Wines & Beers,29,4.7,788,Moustache,"29 7th Avenue South, New York, NY 10014","People say this restaurant serves delicious Lebanese food, including babaganoush, falafel, kebabs, and pitza. They highlight the fresh pita bread, flavorful dips like muhammara and labneh, and the cozy, welcoming atmosphere. They also like the friendly and attentive service.",pulsd.com/new-york/promotions/moustache-dinner-nyc
43% Off Chocolate Bar Making Classes,,4.6,187,Raaka Chocolate,"64 Seabring Street, Brooklyn, NY 11231","People say this chocolate shop offers unique and delicious chocolate, and a variety of interesting and fun classes. They highlight the educational and engaging bean-to-bar chocolate making class, and the helpful staff. They also like the fair trade, single-origin chocolate with no fillers or garbage ingredients.",pulsd.com/new-york/promotions/raaka-chocolate-bar-making-classes-nyc
43% Off Hand-Rolled Truffle Making Classes,,4.6,187,Raaka Chocolate,"64 Seabring Street, Brooklyn, NY 11231","People say this chocolate shop offers unique and delicious chocolate, and a variety of interesting and fun classes. They highlight the educational and engaging bean-to-bar chocolate making class, and the helpful staff. They also like the fair trade, single-origin chocolate with no fillers or garbage ingredients.",pulsd.com/new-york/promotions/raaka-chocolate-truffle-making-classes-nyc
College Football Playoff Party,,4.6,1273,SPiN Flatiron,"48 East 23rd Street, New York, NY","People say this restaurant offers delicious steak, appetizers, and cookies, and is a great place for a fun gathering with drinks, food, and music. They highlight the spacious layout, the availability of ping pong and other games, and the reasonable prices. They also like the friendly and accommodating staff.",pulsd.com/pulses/61313
